ID,Name,Intelligence,Strength,Speed,Durability,Power,Combat,Alter_Egos,Publisher,Alignment,Gender,Race,Height,Weight,Eye,Hair,Skin,Total_Power
76,Hercules,85,100,50,85,90,100,No,Marvel Comics,good,Male,Demi-God,6'5 // 196 cm,325 lb // 146 kg,Blue,Brown,,510
77,Mogo,80,85,85,95,95,70,No,DC Comics,good,Male,Planet,- // 0 cm,- lb // 0 kg,,,,510
78,Venompool,85,60,65,100,100,100,Yes,Marvel Comics,neutral,Male,Symbiote,7'5 // 226 cm,- lb // 0 kg,,,,510
82,Weapon XI,80,65,65,100,95,100,No,Marvel Comics,bad,Male,,- // 0 cm,- lb // 0 kg,,,,505
79,Black Bolt,90,70,100,85,100,60,No,Marvel Comics,good,Male,Inhuman,6'2 // 188 cm,210 lb // 95 kg,Blue,Black,,505
80,Blue Beetle,85,80,80,85,90,85,No,DC Comics,good,Male,,- // 0 cm,- lb // 0 kg,Blue,Brown,,505
81,Silver Surfer,80,100,100,90,100,35,Yes,Marvel Comics,good,Male,Alien,6'4 // 193 cm,225 lb // 101 kg,White,No Hair,Silver,505
85,Lady Bullseye,90,75,80,80,75,100,No,Marvel Comics,bad,Female,,- // 0 cm,- lb // 0 kg,,Black,,500
86,Razor-Fist II,70,85,80,80,85,100,No,Marvel Comics,bad,Male,,6'3 // 191 cm,260 lb // 117 kg,Blue,No Hair,,500
83,Garbage Man,80,90,65,90,90,85,No,DC Comics,good,Male,Mutant,- // 0 cm,- lb // 0 kg,,,,500
84,Green Lantern,85,90,75,80,100,70,Yes,DC Comics,good,Male,Human,6'2 // 188 cm,200 lb // 90 kg,Brown,Brown,,500
87,Thor Girl,90,85,70,85,100,70,No,Marvel Comics,good,Female,Asgardian,5'9 // 175 cm,317 lb // 143 kg,Blue,Blond,,500
88,Watcher,100,80,70,90,100,60,No,Marvel Comics,good,Male,,- // 0 cm,- lb // 0 kg,,,,500
89,Apocalypse,100,100,35,100,100,60,Yes,Marvel Comics,bad,Male,Mutant,7'0 // 213 cm,300 lb // 135 kg,Red,Black,Grey,495
90,Captain Epic,85,85,75,85,80,85,No,Team Epic TV,good,Male,,6'2 // 188 cm,- lb // 0 kg,Blue,Brown,,495
91,Century,95,80,55,65,100,100,No,Marvel Comics,good,Male,Alien,6'7 // 201 cm,215 lb // 97 kg,White,White,Grey,495
92,Hancock,85,90,70,100,100,50,No,Sony Pictures,good,Male,Human,6'2 // 188 cm,- lb // 0 kg,Brown,Black,,495
93,Hawkwoman III,75,80,85,85,80,90,No,DC Comics,good,Female,,5'7 // 170 cm,145 lb // 65 kg,Blue,Red,,495
94,Iron Man,100,85,60,85,100,65,Yes,Marvel Comics,good,Male,Human,6'6 // 198 cm,425 lb // 191 kg,Blue,Black,,495
95,Jesse Quick,90,60,100,70,90,85,Yes,DC Comics,good,Female,Human,- // 0 cm,- lb // 0 kg,,,,495
96,Metamorpho,70,85,70,95,95,80,No,DC Comics,good,Male,,6'1 // 185 cm,200 lb // 90 kg,Black,No Hair,,495
97,One Punch Man,65,100,95,100,70,65,No,Shueisha,good,Male,Human,5'9 // 175 cm,154 lb // 69 kg,,No Hair,,495
98,Sif,85,90,70,80,100,70,Yes,Marvel Comics,good,Female,Asgardian,6'2 // 188 cm,425 lb // 191 kg,Blue,Black,,495
99,Vision,100,75,55,95,100,70,Yes,Marvel Comics,good,Male,Android,6'3 // 191 cm,300 lb // 135 kg,Yellow,No Hair,Red,495
100,Air-Walker,80,85,100,85,100,40,No,Marvel Comics,bad,Male,,6'2 // 188 cm,240 lb // 108 kg,Blue,White,,490
103,Destroyer,80,95,60,100,85,70,No,Marvel Comics,bad,Male,,6'2 // 188 cm,850 lb // 383 kg,,,,490
106,Ultron,95,85,45,100,100,65,Yes,Marvel Comics,bad,Male,Android,6'9 // 206 cm,735 lb // 331 kg,Red,,Silver,490
102,Ardina,85,100,100,80,100,25,No,Marvel Comics,good,Female,Alien,6'4 // 193 cm,218 lb // 98 kg,White,Orange,Yellow,490
104,Dr Manhattan,100,100,45,100,100,45,Yes,DC Comics,good,Male,Human / Cosmic,- // 0 cm,- lb // 0 kg,White,No Hair,Blue,490
105,Hawkwoman II,75,85,90,75,80,85,No,DC Comics,good,Female,,- // 0 cm,- lb // 0 kg,,,,490
107,Valkyrie,75,85,75,85,75,95,Yes,Marvel Comics,good,Female,,6'3 // 191 cm,475 lb // 214 kg,Blue,Blond,,490
101,Anti-Venom,90,60,65,90,100,85,Yes,Marvel Comics,neutral,Male,Symbiote,7'6 // 229 cm,795 lb // 358 kg,Blue,Blond,,490
108,Brainiac,100,95,65,90,60,75,No,DC Comics,bad,Male,Android,6'6 // 198 cm,300 lb // 135 kg,Green,No Hair,Green,485
110,Carnage,85,65,70,85,90,90,No,Marvel Comics,bad,Male,Symbiote,6'1 // 185 cm,190 lb // 86 kg,Green,Red,,485
114,Onslaught,95,100,35,100,100,55,No,Marvel Comics,bad,Male,Mutant,10'0 // 305 cm,900 lb // 405 kg,Red,No Hair,,485
115,Sauron,95,85,35,100,100,70,No,J. R. R. Tolkien,bad,Male,Maiar,9'2 // 279 cm,- lb // 0 kg,,,,485
109,Captain Planet,80,90,75,80,100,60,No,Marvel Comics,good,Male,God / Eternal,- // 0 cm,- lb // 0 kg,Red,Green,,485
111,Energy,80,80,85,80,85,75,No,HarperCollins,good,Female,,- // 0 cm,- lb // 0 kg,,,,485
112,Green Goblin IV,90,90,85,80,65,75,No,Marvel Comics,good,Male,,5'10 // 178 cm,175 lb // 79 kg,Green,Brown,,485
113,Hollow,85,80,80,80,80,80,No,Marvel Comics,good,Female,,5'7 // 170 cm,- lb // 0 kg,Blue,Red,,485
116,X-Man,95,55,55,95,100,85,No,Marvel Comics,good,Male,,5'9 // 175 cm,135 lb // 61 kg,Blue,Brown,,485
119,Cy-Gor,60,100,75,90,85,70,No,Image Comics,bad,Male,,- // 0 cm,- lb // 0 kg,,,,480
120,Hela,85,100,50,100,100,45,No,Marvel Comics,bad,Female,Asgardian,7'0 // 213 cm,500 lb // 225 kg,Green,Black,,480
117,Ares,90,85,35,80,85,105,No,Marvel Comics,good,Male,,6'1 // 185 cm,600 lb // 270 kg,Brown,Brown,,480
118,Beta Ray Bill,85,80,35,95,100,85,No,Marvel Comics,good,Male,,6'7 // 201 cm,480 lb // 216 kg,,No Hair,,480
121,Nova,85,60,100,100,100,35,No,Marvel Comics,good,Female,Human / Cosmic,5'4 // 163 cm,130 lb // 59 kg,White,Red,Yellow,480
122,Vulcan,70,70,75,90,100,75,No,Marvel Comics,good,Male,,- // 0 cm,- lb // 0 kg,Black,Black,,480
123,Warlock,95,40,80,95,75,95,Yes,Marvel Comics,good,Male,,6'2' // 188 cm,240 lb // 108 kg,Red,Blond,,480
129,Venom,90,60,65,85,90,85,Yes,Marvel Comics,bad,Male,Symbiote,6'3 // 191 cm,260 lb // 117 kg,Blue,Auburn,,475
124,Cerebra,85,70,70,80,80,90,No,Marvel Comics,good,Female,Mutant,- // 0 cm,- lb // 0 kg,,,,475
126,Miss Martian,85,85,60,100,100,45,No,DC Comics,good,Female,,5'10 // 178 cm,135 lb // 61 kg,Red,Red,,475
128,She-Ra,90,100,45,70,100,70,No,Mattel,good,Female,Human,- // 0 cm,- lb // 0 kg,,,,475
125,Juggernaut,75,100,45,100,85,70,Yes,Marvel Comics,neutral,Male,Human,9'5 // 287 cm,1900 lb // 855 kg,Blue,Red,,475
127,Red Hulk,80,100,50,85,85,75,No,Marvel Comics,neutral,Male,Human / Radiation,7'0 // 213 cm,1400 lb // 630 kg,Yellow,Black,Red,475
130,Abomination,85,80,55,90,65,95,Yes,Marvel Comics,bad,Male,Human / Radiation,6'8 // 203 cm,980 lb // 441 kg,Green,No Hair,,470
133,Evil Deadpool,85,35,50,100,100,100,Yes,Marvel Comics,bad,Male,Mutant,6'2 // 188 cm,210 lb // 95 kg,White,Red,,470
136,Swamp Thing,95,95,25,100,100,55,No,DC Comics,bad,Male,God / Eternal,- // 0 cm,- lb // 0 kg,Red,No Hair,Green,470
131,Black Widow II,90,60,80,75,70,95,No,Marvel Comics,good,Female,,5'7' // 170 cm,135 lb // 61 kg,Blue,Blond,,470
134,Namor,85,95,60,70,75,85,Yes,Marvel Comics,good,Male,Atlantean,6'2 // 188 cm,278 lb // 125 kg,Grey,Black,,470
135,Spider-Man,100,55,70,75,75,95,Yes,Marvel Comics,good,Male,Human,5'10 // 178 cm,165 lb // 74 kg,Hazel,Brown,,470
137,Toxin,90,80,45,85,100,70,Yes,Marvel Comics,good,Male,Symbiote,6'3 // 191 cm,260 lb // 117 kg,Black,Blond,,470
132,Deadpool,85,35,50,100,100,100,Yes,Marvel Comics,neutral,Male,Mutant,6'2 // 188 cm,210 lb // 95 kg,Brown,No Hair,,470
138,Bloodaxe,85,80,35,80,100,85,No,Marvel Comics,bad,Female,Human,7'2 // 218 cm,1100 lb // 495 kg,Blue,Brown,,465
139,Ego,95,80,85,100,75,30,Yes,Marvel Comics,bad,Female,,- // 0 cm,- lb // 0 kg,,,,465
143,Magneto,95,80,30,85,95,80,No,Marvel Comics,bad,Male,Mutant,6'2 // 188 cm,190 lb // 86 kg,Grey,White,,465
140,Flash II,95,50,100,60,100,60,Yes,DC Comics,good,Male,Human,6'0 // 183 cm,195 lb // 88 kg,Blue,Blond,,465
141,Hybrid,85,65,60,75,100,80,No,Marvel Comics,good,Male,Symbiote,5'9 // 175 cm,172 lb // 77 kg,Brown,Black,,465
142,Kilowog,95,90,55,45,100,80,No,DC Comics,good,Male,Bolovaxian,7'8 // 234 cm,720 lb // 324 kg,Red,No Hair,Pink,465
144,Stargirl,85,80,50,90,90,70,No,DC Comics,good,Female,Human,5'5 // 165 cm,137 lb // 62 kg,Blue,Blond,,465
145,Toxin,80,75,70,85,85,70,No,Marvel Comics,good,Male,Symbiote,6'2 // 188 cm,215 lb // 97 kg,Blue,Brown,,465
146,Wonder Man,90,100,55,90,65,65,Yes,Marvel Comics,good,Male,,6'2 // 188 cm,380 lb // 171 kg,Red,Black,,465
147,Gamora,90,85,45,85,55,100,No,Marvel Comics,good,Female,Zen-Whoberian,6'0 // 183 cm,170 lb // 77 kg,Yellow,Black,Green,460
148,Mera,80,65,80,60,95,80,Yes,DC Comics,good,Female,Atlantean,5'9 // 175 cm,160 lb // 72 kg,Blue,Red,,460
150,Wolverine,85,35,50,100,90,100,Yes,Marvel Comics,good,Male,Mutant,5'3 // 160 cm,300 lb // 135 kg,Blue,Black,,460
149,Sandman,80,75,50,95,100,60,No,Marvel Comics,neutral,Male,Human,6'1 // 185 cm,450 lb // 203 kg,Brown,Brown,,460
153,Loki,95,65,50,85,100,60,Yes,Marvel Comics,bad,Male,Asgardian,6'4 // 193 cm,525 lb // 236 kg,Green,Black,,455
154,Mephisto,95,85,35,95,100,45,No,Marvel Comics,bad,Male,,6'6 // 198 cm,310 lb // 140 kg,White,Black,,455
151,Abin Sur,80,90,55,65,100,65,No,DC Comics,good,Male,Ungaran,6'1 // 185 cm,200 lb // 90 kg,Blue,No Hair,Red,455
152,King Kong,80,100,75,75,50,75,No,,good,Male,Animal,100'0 // 3050 cm,20000000 lb // 9000000 kg,Yellow,Black,,455
155,Steel,95,85,55,90,65,65,No,DC Comics,good,Male,Human,6'7 // 201 cm,290 lb // 131 kg,Brown,No Hair,,455
156,Doctor Doom II,95,75,55,75,80,70,No,Marvel Comics,bad,Male,,6'7 // 201 cm,293 lb // 132 kg,Brown,Brown,,450
157,Godzilla,75,100,55,100,100,20,Yes,,bad,Male,Kaiju,354'4 // 10800 cm,200000000 lb // 90000000 kg,,,Grey,450
160,Kang,100,50,60,70,100,70,Yes,Marvel Comics,bad,Male,,6'3 // 191 cm,230 lb // 104 kg,Brown,Brown,,450
165,T-X,90,65,30,85,100,80,No,Dark Horse Comics,bad,Female,Cyborg,- // 0 cm,330 lb // 149 kg,,,Silver,450
158,Green Lantern,75,90,55,65,100,65,Yes,DC Comics,good,Male,Human-Vuldarian,6'2 // 188 cm,210 lb // 95 kg,Blue,Red,,450
159,Guardian,90,65,65,75,80,75,No,Marvel Comics,good,Male,Human,- // 0 cm,- lb // 0 kg,Brown,Black,,450
161,Krypto,55,80,100,90,85,40,No,DC Comics,good,Male,Kryptonian,0'25 // 64 cm,40 lb // 18 kg,Blue,White,,450
162,Master Chief,90,75,35,80,70,100,No,Microsoft,good,Male,Human / Altered,7' // 213 cm,- lb // 0 kg,Brown,Brown,,450
163,She-Hulk,95,100,45,100,40,70,Yes,Marvel Comics,good,Female,Human,6'7 // 201 cm,700 lb // 315 kg,Green,Green,,450
164,Sinestro,90,85,55,65,100,55,Yes,DC Comics,neutral,Male,Korugaran,6'7 // 201 cm,205 lb // 92 kg,Black,Black,Red,450
166,Absorbing Man,75,80,25,100,100,65,No,Marvel Comics,bad,Male,Human,6'4 // 193 cm,270 lb // 122 kg,Blue,No Hair,,445
167,Alex Mercer,80,80,45,90,100,50,No,Wildstorm,bad,Male,Human,- // 0 cm,- lb // 0 kg,,,,445
173,T-850,90,80,25,90,85,75,No,Dark Horse Comics,bad,Male,Cyborg,- // 0 cm,440 lb // 198 kg,Red,,,445
168,Angel,90,30,60,90,100,75,No,Dark Horse Comics,good,Male,Vampire,- // 0 cm,- lb // 0 kg,,,,445
169,Genesis,80,75,75,70,80,65,No,Marvel Comics,good,Male,,6'1 // 185 cm,191 lb // 86 kg,Blue,Blond,,445
170,Green Lantern,85,90,50,60,100,60,Yes,DC Comics,good,Male,Human,5'11 // 180 cm,175 lb // 79 kg,Green,Black,,445
171,Groot,90,85,35,70,100,65,Yes,Marvel Comics,good,Male,Flora Colossus,23'0 // 701 cm,8200 lb // 4000 kg,Yellow,,,445
172,Marvel Girl,85,85,50,45,100,80,No,Marvel Comics,good,Female,,5'7' // 170 cm,125 lb // 56 kg,Green,Red,,445
174,Tracy Strauss,80,55,65,95,90,60,No,NBC - Heroes,good,Female,,- // 0 cm,- lb // 0 kg,,,,445
176,Atlas,85,100,45,100,30,80,No,DC Comics,bad,Male,God / Eternal,6'6 // 198 cm,280 lb // 126 kg,Blue,Brown,,440
178,Doctor Doom,100,35,20,100,100,85,Yes,Marvel Comics,bad,Male,Human,6'7 // 201 cm,415 lb // 187 kg,Brown,Brown,,440
179,Fixer,90,70,70,75,70,65,No,Marvel Comics,bad,Male,,- // 0 cm,- lb // 0 kg,Red,No Hair,,440
184,King Shark,80,90,50,90,90,40,No,DC Comics,bad,Male,Animal,- // 0 cm,- lb // 0 kg,Black,No Hair,,440
185,Mister Sinister,100,50,50,90,100,50,No,Marvel Comics,bad,Male,Human / Altered,6'5 // 196 cm,285 lb // 128 kg,Red,Black,,440
188,Siren,80,65,80,60,95,60,No,DC Comics,bad,Female,Atlantean,5'9 // 175 cm,160 lb // 72 kg,Blue,Purple,,440
175,Atlas,85,80,25,100,100,50,Yes,Marvel Comics,good,Male,Mutant,6'0 // 183 cm,225 lb // 101 kg,Brown,Red,,440
177,Batgirl III,80,65,70,70,65,90,Yes,DC Comics,good,Female,,- // 0 cm,- lb // 0 kg,,,,440
180,Frigga,75,80,50,85,85,65,No,Marvel Comics,good,Female,,5'11' // 180 cm,370 lb // 167 kg,Blue,White,,440
181,Green Lantern,80,85,45,65,100,65,No,DC Comics,good,Male,Human,6'1 // 185 cm,201 lb // 90 kg,Green,Black,,440
182,Hawkgirl,80,30,55,100,100,75,Yes,DC Comics,good,Female,,5'9 // 175 cm,135 lb // 61 kg,Green,Red,,440
183,Iceman,85,35,55,100,100,65,Yes,Marvel Comics,good,Male,Mutant,5'8 // 173 cm,145 lb // 65 kg,Brown,Brown,,440
186,Osiris,90,85,60,95,65,45,No,DC Comics,good,Male,,- // 0 cm,- lb // 0 kg,Brown,Brown,,440
187,Savage Dragon,85,70,55,85,70,75,No,Image Comics,good,Male,,- // 0 cm,- lb // 0 kg,,,,440
189,Skaar,80,85,30,90,70,85,No,Marvel Comics,good,Male,,6'6 // 198 cm,400 lb // 180 kg,Green,Black,,440
190,Spider-Man,85,65,75,70,70,75,No,Marvel Comics,good,Male,Human,5'10 // 178 cm,170 lb // 77 kg,Red,Brown,,440
191,Thunderstrike,85,80,70,85,45,75,No,Marvel Comics,good,Male,,6'6 // 198 cm,640 lb // 288 kg,Blue,Blond,,440
192,Ymir,80,100,30,100,100,30,No,Marvel Comics,good,Male,Frost Giant,100000 // 30480 cm,- lb // 0 kg,White,No Hair,White,440
193,Bloodwraith,65,75,65,70,70,90,No,Marvel Comics,bad,Male,,10000 // 3050 cm,- lb // 0 kg,White,No Hair,,435
200,Maxima,90,90,35,60,85,75,No,DC Comics,bad,Female,,5'11 // 180 cm,160 lb // 72 kg,Brown,Red,,435
201,Omega Red,70,70,50,85,70,90,No,Marvel Comics,bad,Male,,6'11 // 211 cm,425 lb // 191 kg,Red,Blond,,435
202,T-1000,90,35,35,100,100,75,No,Dark Horse Comics,bad,Male,Android,6'0 // 183 cm,325 lb // 146 kg,,,Silver,435
194,Cannonball,80,30,70,100,95,60,No,Marvel Comics,good,Male,,6'0 // 183 cm,181 lb // 81 kg,Blue,Blond,,435
